Compacidad,Tolerancia,Disimilitud,Balance
387.0,78.0,157.9964539007092,825.3616895528398
419.0,79.0,159.1258865248227,593.519613575776
313.0,63.0,121.28989361702128,350.8140113362001
308.0,51.0,120.84131205673759,351.10336423595334
491.0,103.0,188.15602836879432,990.4614707509671
302.0,57.0,119.46099290780141,343.46479050349615
430.0,78.0,172.4964539007092,926.8670087017749
454.0,91.0,173.66400709219857,749.655725787182
351.0,51.0,138.72163120567376,496.84804272923935
382.0,70.0,156.18085106382978,756.6339595593782
333.0,71.0,130.1054964539007,427.0128066684276
317.0,50.0,125.68262411347517,388.7467902771492
465.0,80.0,180.31471631205673,886.2369465507267
373.0,70.0,151.64361702127658,742.287884789498
420.0,79.0,170.66489361702128,940.3877037120872
350.0,48.0,137.12943262411346,457.8165805291489
379.0,76.0,151.5540780141844,721.6477847882394
416.0,63.0,165.12765957446808,729.4269654443939
425.0,63.0,166.81117021276594,757.6531730986874
352.0,63.0,142.43971631205673,615.1577133946977
433.0,98.0,168.37677304964538,816.413893132892
458.0,101.0,174.43794326241135,809.0316099542268
388.0,57.0,154.5363475177305,674.6937143189471
335.0,67.0,132.06914893617022,435.2682680700162
487.0,96.0,187.84574468085106,1015.6180492681439
379.0,56.0,150.19326241134752,576.0406638247574
429.0,84.0,171.92021276595744,941.8624283235253
372.0,81.0,143.99202127659575,520.3181987513203
367.0,56.0,141.11170212765958,480.64355100347035
422.0,94.0,162.46010638297872,669.936351761733
350.0,70.0,135.40425531914894,450.8153010411948
385.0,74.0,155.78102836879432,802.554001779337
391.0,63.0,157.5913120567376,757.7718039522672
332.0,48.0,132.59308510638297,445.4806968650981
389.0,62.0,156.0363475177305,680.855948361501
417.0,74.0,167.83156028368793,849.6241103314743
336.0,55.0,129.84397163120568,402.50047784316706
354.0,67.0,136.4131205673759,466.1059271414921
362.0,67.0,143.84663120567376,556.4684992895228
410.0,61.0,162.47783687943263,734.5970265265823
399.0,62.0,156.63209219858157,633.489643849656
445.0,91.0,170.33244680851064,723.1510039422064
406.0,82.0,164.3049645390071,849.5807554951966
384.0,85.0,149.09485815602838,564.8181295898102
431.0,94.0,167.90691489361703,817.696122397012
415.0,74.0,166.01329787234042,804.2826245850304
400.0,81.0,163.57535460992906,895.8365202643164
344.0,74.0,134.68528368794327,444.6961664088828
461.0,91.0,182.95921985815602,996.5515284693937
349.0,73.0,138.1790780141844,512.2799878024247
340.0,67.0,136.77482269503545,555.6514228409056
451.0,75.0,176.74113475177305,858.3478824002825
446.0,84.0,170.57978723404256,720.2312226497661
388.0,77.0,149.0363475177305,561.630771056537
375.0,60.0,147.06382978723406,538.6342236306017
384.0,67.0,149.6258865248227,546.4664220864146
388.0,80.0,155.19769503546098,728.7100301481306
483.0,105.0,185.92641843971631,977.9121389454757
407.0,76.0,165.08599290780143,869.965122950305
395.0,78.0,149.81648936170214,529.887423136412
452.0,91.0,177.86170212765958,919.7751999396406
344.0,60.0,133.40248226950354,432.5224051858552
398.0,78.0,161.72163120567376,854.5324398923615
331.0,64.0,132.21985815602838,488.558045369951
438.0,81.0,170.8554964539007,752.4870974485692
417.0,73.0,164.3785460992908,707.3451780280163
398.0,80.0,158.7304964539007,760.2429706755184
456.0,84.0,178.14982269503545,909.6043262096957
371.0,72.0,141.26063829787233,500.7760393088882
455.0,85.0,175.80230496453902,826.307547878629
422.0,94.0,163.2331560283688,719.0245389756547
418.0,85.0,165.8040780141844,745.4855507456866
361.0,57.0,145.0744680851064,595.6221140787688
413.0,91.0,163.44326241134752,754.3141567325604
346.0,68.0,136.9281914893617,503.95672297042427
460.0,94.0,176.2287234042553,814.3235721291671
365.0,78.0,144.1799645390071,594.6298468072539
339.0,70.0,134.27659574468086,482.2426437301941
322.0,54.0,125.79343971631205,380.7755952605504
398.0,70.0,160.90602836879432,770.5053537296916
389.0,69.0,154.4122340425532,667.194424796288
398.0,58.0,158.86170212765958,708.5269729892863
478.0,95.0,182.62322695035462,892.2702761116161
399.0,60.0,157.91578014184398,676.2615240367686
341.0,46.0,135.38829787234042,462.1400049041798
481.0,91.0,187.45390070921985,992.2230521603528
317.0,63.0,124.1604609929078,385.26059978748555
441.0,69.0,172.81560283687944,815.7106785372952
414.0,81.0,161.18262411347519,682.9382796388503
378.0,74.0,151.10638297872342,677.8787535838236
460.0,96.0,179.1781914893617,921.4655882186511
381.0,70.0,153.69237588652481,703.6066085395603
385.0,69.0,151.48670212765958,630.1292557907051
463.0,83.0,181.46985815602838,935.6444815401659
393.0,83.0,150.3031914893617,558.5144578995016
354.0,61.0,137.77925531914894,466.23761930360763
408.0,58.0,161.5,710.7393617021277
359.0,71.0,143.29787234042553,610.9360947638459
397.0,83.0,155.53014184397162,740.757956717468
382.0,82.0,151.11968085106383,615.4972013165834
440.0,99.0,169.91843971631207,754.5536316080666
420.0,66.0,165.90425531914894,756.8135279915502
371.0,80.0,140.87765957446808,491.4247491323374
361.0,80.0,142.18173758865248,532.6256593921332
422.0,76.0,163.65425531914894,692.2350705447417
383.0,74.0,152.83421985815602,636.00531836301
