algorithm,init,crossover,GD+
RVEA,greedy_multi,UX,0.01568525242887918
RVEA,greedy_multi,HUX,0.016049521185625422
RVEA,greedy_multi,2P,0.01711641013087466
RVEA,greedy_multi,1P,0.01809887322111118
MOEAD_TCHE,greedy_multi,UX,0.0823037670348992
MOEAD_TCHE,greedy_multi,HUX,0.0877835532532084
MOEAD_TCHE,greedy_multi,2P,0.09000492399343887
AGEMOEA2,greedy_multi,UX,0.0920752656887864
MOEAD_TCHE,greedy_multi,1P,0.09582249723151334
AGEMOEA2,greedy_multi,HUX,0.09822531081208648
NSGA3,greedy_multi,HUX,0.10622619913339237
AGEMOEA2,greedy_multi,2P,0.10769835723925787
SMSEMOA,greedy_multi,2P,0.1112323597682133
NSGA3,greedy_multi,1P,0.11312283333127679
SMSEMOA,greedy_multi,HUX,0.11430625358550639
NSGA3,greedy_multi,UX,0.11798982216649367
AGEMOEA2,greedy_multi,1P,0.12304034391408496
SMSEMOA,greedy_multi,1P,0.12498502455371611
SPEA2,greedy_multi,HUX,0.13976101667418356
SMSEMOA,greedy_multi,UX,0.14136252564588103
NSGA3,greedy_multi,2P,0.14150831458683175
SPEA2,greedy_multi,2P,0.1890655188321253
SPEA2,greedy_multi,UX,0.19156736432775245
SPEA2,greedy_multi,1P,0.1953510459373447
NSGA2,greedy_multi,UX,0.20647703554543448
NSGA2,greedy_multi,HUX,0.20893478929753723
NSGA2,greedy_multi,1P,0.21418387345281711
NSGA2,greedy_multi,2P,0.22557936563595765
MOEAD_TCHE,greedy_ting,UX,0.24949901802697197
MOEAD_TCHE,greedy_ting,HUX,0.25501553234772667
MOEAD_TCHE,greedy_ting,1P,0.26123869902447794
MOEAD_TCHE,greedy_ting,2P,0.2634580040827671
RVEA,greedy_ting,UX,0.30734611869928885
RVEA,greedy_ting,2P,0.32828927114783313
SMSEMOA,greedy_ting,UX,0.328768569614669
SMSEMOA,greedy_ting,HUX,0.3308086388798868
SMSEMOA,greedy_ting,1P,0.34949583191749134
RVEA,greedy_ting,HUX,0.35941163842065393
NSGA3,greedy_ting,1P,0.3714556551021846
AGEMOEA2,greedy_ting,UX,0.38633514996921825
SPEA2,greedy_ting,2P,0.38668558506868084
AGEMOEA2,greedy_ting,HUX,0.3880455356465139
RVEA,greedy_ting,1P,0.3898476312832126
SMSEMOA,greedy_ting,2P,0.4064217414154423
AGEMOEA2,greedy_ting,2P,0.411641041636278
AGEMOEA2,greedy_ting,1P,0.414101347958184
NSGA3,greedy_ting,2P,0.4178999611421809
SPEA2,greedy_ting,1P,0.42115209928448943
NSGA3,greedy_ting,HUX,0.4212766556147531
NSGA3,greedy_ting,UX,0.42435238638250244
SPEA2,greedy_ting,UX,0.45509723256018847
NSGA2,greedy_ting,1P,0.4809295260058694
NSGA2,greedy_ting,2P,0.4879738039882401
SPEA2,greedy_ting,HUX,0.4971593101719341
NSGA2,greedy_ting,HUX,0.5093676145579854
NSGA2,greedy_ting,UX,0.517028599769476
SMSEMOA,random_dense,UX,0.5378044613052751
SMSEMOA,random_dense,HUX,0.5498359871535375
SPEA2,random_dense,HUX,0.6209539641587943
NSGA3,random_dense,UX,0.6217150298061511
SPEA2,random_dense,UX,0.6247978909299421
NSGA3,random_dense,HUX,0.6266164650145593
MOEAD_TCHE,random_dense,UX,0.6363216332502005
AGEMOEA2,random_dense,UX,0.6736778898424458
AGEMOEA2,random_dense,HUX,0.675862436537437
NSGA2,random_dense,UX,0.6803089954151021
MOEAD_TCHE,random_dense,HUX,0.6827561851244583
RVEA,random_dense,HUX,0.6843443635969472
SMSEMOA,random_dense,2P,0.687617285998072
SPEA2,random_dense,2P,0.6896366067142147
RVEA,random_dense,UX,0.6931665574629965
NSGA2,random_dense,HUX,0.6970294407249719
MOEAD_TCHE,random_dense,2P,0.6993868002052135
SMSEMOA,random_dense,1P,0.709775223217959
SPEA2,random_dense,1P,0.7420283687790856
NSGA3,random_dense,2P,0.7425628125443812
MOEAD_TCHE,random_dense,1P,0.7443299775009914
RVEA,random_dense,2P,0.7699344109761783
AGEMOEA2,random_dense,2P,0.7736554352446314
NSGA3,random_dense,1P,0.7794414547010805
NSGA2,random_dense,2P,0.7893176294523494
RVEA,random_dense,1P,0.7941321648057947
AGEMOEA2,random_dense,1P,0.804658001657742
NSGA2,random_dense,1P,0.8358378422460321
